Model,Segment,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,Time_sec
rbf,1,0.131595788346447,0.0263191576692894,0.108568019910305,0.822387435168954,0.817411143221329,0.205400406049969,2.0787076
rbf_arima,1,0.131595788346447,0.0263191576692894,0.108568019910305,0.822387435168954,0.817411143221329,0.205400406049969,0.0054677
arima,1,0.21743010724729,0.043486021449458,0.165836039942972,1.25847832907379,1.24492839726195,-1.1692205930282,1.4487774
rbf,2,0.158064724416425,0.0316129448832851,0.127426772194345,1.03750180688193,1.045988252694,0.707004059262863,0.002772
rbf_arima,2,0.158064724416425,0.0316129448832851,0.127426772194345,1.03750180688193,1.045988252694,0.707004059262863,1.0536254
arima,2,0.0671772409915665,0.0134354481983133,0.0536799249158953,0.437263198792589,0.435752138311182,0.947078028707789,0.3622491
rbf,3,0.0185238680525018,0.00370477361050036,0.0171123780416041,0.147195836974801,0.147321413011552,0.993192041696893,0.0024732
rbf_arima,3,0.0185238680525018,0.00370477361050036,0.0171123780416041,0.147195836974801,0.147321413011552,0.993192041696893,0.0796751
arima,3,0.101382324012062,0.0202764648024124,0.0724475057958212,0.638084460859464,0.642139737438753,0.796071457912339,0.3271547
rbf,4,0.0408489283222618,0.00816978566445237,0.0389908746114371,0.347575920917835,0.346915959689519,0.377361889127283,0.0015039
rbf_arima,4,0.0408489283222618,0.00816978566445237,0.0389908746114371,0.347575920917835,0.346915959689519,0.377361889127283,0.0679474
arima,4,0.251385541285878,0.0502771082571756,0.190210928173742,1.69167925155296,1.71700373998698,-22.5806056583829,0.3262542
rbf,5,0.0649414733044024,0.0129882946608805,0.0539861541605737,0.45596843134252,0.454488239992369,0.913614651446536,0.0050606
rbf_arima,5,0.0649414733044024,0.0129882946608805,0.0539861541605737,0.45596843134252,0.454488239992369,0.913614651446536,0.0641034
arima,5,0.136665400094063,0.0273330800188126,0.105653003536009,0.889888366085101,0.896495197856329,0.617428186213062,0.4006825
rbf,6,0.0553880821974656,0.0110776164394931,0.0485707886157898,0.384755030985058,0.383806728100677,0.938802867148112,0.0015157
rbf_arima,6,0.0553880821974656,0.0110776164394931,0.0485707886157898,0.384755030985058,0.383806728100677,0.938802867148112,0.0592476
arima,6,0.0199937865969656,0.00399875731939312,0.0118287799408482,0.0927308651333658,0.0926093489719399,0.992025774290648,0.3005994
rbf,7,0.014400376291056,0.00288007525821119,0.0116031945197181,0.0890313519647477,0.0890810936967802,0.940620639146004,0.0012554
