Segment,Model,RMSE
1,rbf,0.000383795446490277
2,rbf,0.00977938597116058
3,arima,0.0126938187069167
4,rbf,2.52589069514811e-05
5,rbf,5.48230899560714e-06
6,rbf,0.00465322666169166
7,arima,0.066148765526345
8,arima,0.0484488148546682
9,arima,0.0161524357954856
10,rbf,2.08957050695741e-05
11,rbf,5.67073436326559e-06
12,rbf,0.000195408468713853
13,rbf,0.0136753310252671
14,arima,0.0474512724049456
15,arima,0.0179518311470665
16,rbf,1.64906906055637e-05
17,rbf,5.85772190627101e-06
18,rbf,0.00702865236154161
19,arima,0.0655610116662589
20,arima,0.0466080903857229
21,arima,0.0193348017087805
22,rbf,1.2520253020111e-05
23,rbf,6.02868727900793e-06
24,arima,0.0142924859522771
25,arima,0.0648770404494964
26,arima,0.0455851589827441
27,arima,0.0188431008809041
28,rbf,9.18851102862802e-06
29,rbf,6.17372424353887e-06
30,arima,0.0153213753272423
31,arima,0.0651890040300644
32,arima,0.0447639831312725
33,arima,0.0198851926728872
34,rbf,6.59812817809762e-06
35,rbf,6.28547785477295e-06
36,arima,0.0163524257781896
37,arima,0.0654793412272878
38,arima,0.0439321096234169
39,arima,0.020925070781919
40,rbf,4.80000860724183e-06
41,rbf,6.36089695957633e-06
42,arima,0.0173846889384214
43,arima,0.0657479486941296
44,arima,0.0430897864788415
45,arima,0.0219621500736981
46,rbf,3.82148338784496e-06
47,rbf,6.40091467905626e-06
48,arima,0.0184173472327899
49,arima,0.065994736530472
50,arima,0.0422372592434527
51,arima,0.0229958842240422
52,rbf,3.54120750882525e-06
53,rbf,6.41529499252434e-06
54,arima,0.0194496782263388
55,arima,0.0140351128318771
56,arima,0.0509127467617317
