Model,Segment,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,Time_sec
rbf,1,0.000383795446490277,0.0003363931909976,0.000225575795623634,0.0019185186320217,0.00191857187644628,0.998655726077227,0.2666847
rbf_arima,1,0.000383795446490277,0.0003363931909976,0.000225575795623634,0.0019185186320217,0.00191857187644628,0.998655726077227,0.0016357
arima,1,0.0675433547175448,0.0592011313106949,0.0508718343915521,0.432830206236519,0.43448783162084,-40.6345037712933,0.2268367
rbf,2,0.00977938597116058,0.00857154216632741,0.00273211208601509,0.022788799118414,0.0228221042480064,0.9784025733083,0.0011226
rbf_arima,2,0.00977938597116058,0.00857154216632741,0.00273211208601509,0.022788799118414,0.0228221042480064,0.9784025733083,0.057132
arima,2,0.0505917865022628,0.0443432371472823,0.0394482967456803,0.330718019893368,0.331617175742545,0.421985324132617,0.2198523
rbf,3,1.81150818116744,1.58777031659392,1.17597050139478,9.6586617681274,10.9660411944532,-737.778634449608,0.001116
rbf_arima,3,1.81150818116744,1.58777031659392,1.17597050139478,9.6586617681274,10.9660411944532,-737.778634449608,0.0568104
arima,3,0.0126938187069167,0.0111260157456634,0.00791391862667048,0.0648935594716826,0.0648395601117753,0.963724090439875,0.217916
rbf,4,2.52589069514811e-05,2.21392004210123e-05,1.88224920809906e-05,0.000153617673839277,0.000153617678178755,0.999994170313047,0.001231
rbf_arima,4,2.52589069514811e-05,2.21392004210123e-05,1.88224920809906e-05,0.000153617673839277,0.000153617678178755,0.999994170313047,0.0564583
arima,4,0.0656992981023888,0.0575848325900474,0.0494808463071671,0.404052724161564,0.402618684976852,-38.4400618894504,0.2593009
rbf,5,5.48230899560714e-06,4.80519358406159e-06,4.72342249947152e-06,3.90265053265587e-05,3.9026503194517e-05,0.999999993276321,0.0010637
rbf_arima,5,5.48230899560714e-06,4.80519358406159e-06,4.72342249947152e-06,3.90265053265587e-05,3.9026503194517e-05,0.999999993276321,0.0601176
arima,5,0.047304171335837,0.0414616725880371,0.0369559397090206,0.306188455351947,0.305420005132957,0.499413862711108,0.2195296
rbf,6,0.00465322666169166,0.00407851051771459,0.00168059626928141,0.0142621176038654,0.0142699274512005,0.995078536532377,0.0013234
rbf_arima,6,0.00465322666169166,0.00407851051771459,0.00168059626928141,0.0142621176038654,0.0142699274512005,0.995078536532377,0.059978
arima,6,0.0156863120884227,0.0137489087654989,0.0101734195121962,0.0861727424317568,0.0862613220461324,0.944072223622507,0.2157412
rbf,7,0.363399046204221,0.318515933099323,0.189581810169333,1.61180555509304,1.6613434971319,-1198.16754954478,0.0011659
rbf_arima,7,0.363399046204221,0.318515933099323,0.189581810169333,1.61180555509304,1.6613434971319,-1198.16754954478,0.0781323
arima,7,0.066148765526345,0.0579787866673477,0.0498369683199173,0.423985760084977,0.425575089181233,-38.7334054514555,0.2451804
rbf,8,1.30540675727308,1.14417705745252,0.531507646186187,4.43650368536407,5.141238772352,-376.703623433786,0.0011003
rbf_arima,8,1.30540675727308,1.14417705745252,0.531507646186187,4.43650368536407,5.141238772352,-376.703623433786,0.0632299
arima,8,0.0484488148546682,0.0424649421405437,0.0378349974531366,0.317088610888755,0.317912536774191,0.479733629925691,0.2440682
rbf,9,1.86871250264343,1.63790938003549,1.31800257834177,10.8344165654949,12.2261326645311,-800.498176466569,0.0019146
rbf_arima,9,1.86871250264343,1.63790938003549,1.31800257834177,10.8344165654949,12.2261326645311,-800.498176466569,0.0662822
arima,9,0.0161524357954856,0.0141574619222714,0.0105360900408196,0.0863970098385175,0.0863095926607752,0.940118371451831,0.2830554
rbf,10,2.08957050695741e-05,1.83148939644255e-05,1.57311664803927e-05,0.000128390333592986,0.000128390338788232,0.99999608842955,0.0010993
rbf_arima,10,2.08957050695741e-05,1.83148939644255e-05,1.57311664803927e-05,0.000128390333592986,0.000128390338788232,0.99999608842955,0.0685528
arima,10,0.0657133483156085,0.0575971474731509,0.0495175916504258,0.404390064736362,0.402955058002084,-37.6851504240417,0.2192286
rbf,11,5.67073436326559e-06,4.9703466917161e-06,4.8448470387541e-06,4.00446786087584e-05,4.00446772259119e-05,0.999999992936902,0.0010727
rbf_arima,11,5.67073436326559e-06,4.9703466917161e-06,4.8448470387541e-06,4.00446786087584e-05,4.00446772259119e-05,0.999999992936902,0.1014254
arima,11,0.0473452622757247,0.0414976884202111,0.0370040438448074,0.306690428302251,0.305920108524446,0.507654815178719,0.2122398
rbf,12,0.000195408468713853,0.000171273731722799,7.23439179755185e-05,0.00061362502594201,0.00061363877765928,0.999991148510722,0.0010697
rbf_arima,12,0.000195408468713853,0.000171273731722799,7.23439179755185e-05,0.00061362502594201,0.00061363877765928,0.999991148510722,0.0741356
arima,12,0.0157193206378428,0.0137778404565108,0.0102051497136799,0.0864614829362988,0.0865504739985566,0.942720775428593,0.218772
rbf,13,0.0136753310252671,0.0119863022962014,0.00853559919958127,0.0725973760628167,0.0725298227312537,-0.641324919232281,0.0010543
rbf_arima,13,0.0136753310252671,0.0119863022962014,0.00853559919958127,0.0725973760628167,0.0725298227312537,-0.641324919232281,0.0811729
arima,13,0.0656877053617943,0.0575746716591749,0.0495118988059872,0.421178631641908,0.422745419496756,-36.8692801764754,0.2206252
rbf,14,1.33787272399784,1.17263317970523,0.56988498018827,4.75614143131174,5.4910308425294,-388.655204604419,0.0010514
rbf_arima,14,1.33787272399784,1.17263317970523,0.56988498018827,4.75614143131174,5.4910308425294,-388.655204604419,0.0768837
arima,14,0.0474512724049456,0.0415906053267893,0.0370927592191846,0.310763784169969,0.311553535086541,0.509830135680051,0.2657368
rbf,15,1.87297973772816,1.64164957247398,1.324399416669,10.8857489043846,12.2848957270787,-820.464601589801,0.0011786
rbf_arima,15,1.87297973772816,1.64164957247398,1.324399416669,10.8857489043846,12.2848957270787,-820.464601589801,0.0748101
arima,15,0.0179518311470665,0.0157346154547584,0.011931977449085,0.0978332440347641,0.0977253083100496,0.924535933395303,0.2126456
rbf,16,1.64906906055637e-05,1.4453939162877e-05,1.26110588958876e-05,0.000102928013140209,0.000102928018859444,0.999997677142525,0.0011167
rbf_arima,16,1.64906906055637e-05,1.4453939162877e-05,1.26110588958876e-05,0.000102928013140209,0.000102928018859444,0.999997677142525,0.0729462
arima,16,0.0657812113909688,0.0576566288366744,0.0495951069580556,0.405062671718447,0.403624334094319,-35.9614167902184,0.2158057
rbf,17,5.85772190627101e-06,5.13423955924127e-06,5.04705951491028e-06,4.17320478234723e-05,4.17320472531601e-05,0.999999992595103,0.0010167
rbf_arima,17,5.85772190627101e-06,5.13423955924127e-06,5.04705951491028e-06,4.17320478234723e-05,4.17320472531601e-05,0.999999992595103,0.0693148
arima,17,0.047014633193921,0.0412078950605408,0.0367690438703542,0.304845368112394,0.304085226945866,0.522989854728215,0.2191272
rbf,18,0.00702865236154161,0.00616054937059212,0.00251845639161316,0.0213816847436608,0.0213638848364262,0.988311957124952,0.001045
rbf_arima,18,0.00702865236154161,0.00616054937059212,0.00251845639161316,0.0213816847436608,0.0213638848364262,0.988311957124952,0.0727167
arima,18,0.0162738802491084,0.0142639068727176,0.010638944895218,0.0901537149122044,0.0902491353076942,0.937341513445491,0.2276832
rbf,19,0.0848075093983772,0.0743330046460094,0.0523264469739688,0.445182325813245,0.442731742959977,-58.431620476867,0.0010634
rbf_arima,19,0.0848075093983772,0.0743330046460094,0.0523264469739688,0.445182325813245,0.442731742959977,-58.431620476867,0.0724893
arima,19,0.0655610116662589,0.0574636257963065,0.0494410606758005,0.420532131414543,0.422092437968094,-34.5173247867574,0.2302515
rbf,20,1.36449328907864,1.1959658609957,0.602866053665677,5.03073042341119,5.79543881593475,-397.37374326385,0.0011548
rbf_arima,20,1.36449328907864,1.1959658609957,0.602866053665677,5.03073042341119,5.79543881593475,-397.37374326385,0.0733076
arima,20,0.0466080903857229,0.0408515640155076,0.0364674782386952,0.305422114042846,0.30618347861108,0.535195293093804,0.2241288
rbf,21,1.88381202822654,1.65114397580754,1.356102974543,11.1443743642874,12.5410918818036,-847.458175821349,0.0010327
