Model,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,DM_pvalue,Time_sec
rbf,0.0705453034555863,0.0113645780972738,0.0598632050399117,0.41249643557991,0.412504557124229,0.812128083051236,1,0.00749063035714286
rbf_arima,0.0705453034555863,0.0113645780972738,0.0598632050399117,0.41249643557991,0.412504557124229,0.812128083051236,NaN,0.0777910160714286
arima,0.455186934611838,0.0733288711489024,0.374507118933806,2.55073603051062,2.55636106014071,-3.4112899934818,5.42839699857467e-08,0.260939296428571
