Segment,Model,RMSE
1,rbf,0.042264250371487
2,rbf,0.0893984363748247
3,rbf,0.138761661128544
4,rbf,0.0759419572265063
5,rbf,0.124968842141432
6,rbf,0.05398698575768
7,rbf,0.18381949059916
8,rbf,0.0659296087184141
9,rbf,0.0760835910569119
10,rbf,0.0685480420674415
11,rbf,0.0320071342023539
12,rbf,0.0456513778723818
13,rbf,0.0601045625196508
14,rbf,0.0737534726123444
15,rbf,0.0441132939212079
16,rbf,0.0638672341027828
17,rbf,0.0743153126109785
18,rbf,0.0436301348899572
19,rbf,0.0376282927365559
20,rbf,0.0422101006411777
21,rbf,0.0529315170495639
22,rbf,0.0404020187066931
23,rbf,0.0364274954563412
24,rbf,0.0299649790812818
25,rbf,0.0392435136781469
26,rbf,0.0451949535917003
27,rbf,0.175484868246332
28,rbf,0.102435657072882
29,rbf,0.071734227397348
30,rbf,0.0667358938544143
31,rbf,0.0379291796910443
32,rbf,0.13761682500432
33,rbf,0.187228243951957
34,rbf,0.158626213780194
35,rbf,0.193609582939158
36,rbf,0.0472690659677387
37,rbf,0.0615434862933798
38,rbf,0.0326450581862011
39,rbf,0.0788648853432495
40,rbf,0.127013285142278
41,rbf,0.0487713936414974
42,rbf,0.0221938695292682
43,rbf,0.0747574778449517
44,rbf,0.106919769519585
45,rbf,0.0731701958641247
46,rbf,0.0666090091076636
47,rbf,0.0471234354653471
48,rbf,0.0722913242104951
49,rbf,0.0329682122880376
50,rbf,0.0450273375958006
51,rbf,0.0498597444053712
52,rbf,0.0299574600685341
53,rbf,0.0380439508208253
54,rbf,0.0501700880032118
55,rbf,0.0128088906134836
56,rbf,0.019980102548621
