Model,Segment,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,Time_sec
rbf,1,0.042264250371487,0.00680860880231231,0.0386857534028739,0.266708305433181,0.266881196058757,0.988320289777054,0.3374141
rbf_arima,1,0.042264250371487,0.00680860880231231,0.0386857534028739,0.266708305433181,0.266881196058757,0.988320289777054,0.0019742
arima,1,0.327647967022901,0.0527828321270039,0.259659529981372,1.82667357095368,1.80020363374153,0.298058883249976,0.2826789
rbf,2,0.0893984363748247,0.0144017455760963,0.080847661960105,0.54728725498648,0.54659868545908,0.529679364907736,0.0012673
rbf_arima,2,0.0893984363748247,0.0144017455760963,0.080847661960105,0.54728725498648,0.54659868545908,0.529679364907736,0.0638387
arima,2,0.349749270235996,0.0563432673950281,0.266953705055201,1.81287207148218,1.78503194215702,-6.19859635162743,0.2571492
rbf,3,0.138761661128544,0.0223539719521598,0.125047668958755,0.793568660373203,0.79390840735808,0.472077060173646,0.0011157
rbf_arima,3,0.138761661128544,0.0223539719521598,0.125047668958755,0.793568660373203,0.79390840735808,0.472077060173646,0.0563126
arima,3,1.29758384155129,0.209035785271719,1.07108578746245,6.76405572381669,6.44622736711313,-45.163891428091,0.2811132
rbf,4,0.0759419572265063,0.0122339583428656,0.0648853262434965,0.42417275785569,0.424425409290556,0.918220376389479,0.001176
rbf_arima,4,0.0759419572265063,0.0122339583428656,0.0648853262434965,0.42417275785569,0.424425409290556,0.918220376389479,0.0602434
arima,4,0.174758947955908,0.0281529969389487,0.120438750017392,0.803877658435331,0.797090943461674,0.566927727516768,0.304086
rbf,5,0.124968842141432,0.0201320016595622,0.107124381976442,0.697358581176139,0.697266208252808,0.875930525490651,0.0013079
rbf_arima,5,0.124968842141432,0.0201320016595622,0.107124381976442,0.697358581176139,0.697266208252808,0.875930525490651,0.0612374
arima,5,0.337946031785368,0.0544418109039187,0.232247041541335,1.52342689658263,1.50101813821055,0.0926890478892062,0.3123326
