Segment,Model,RMSE
1,rbf,0.00479613457864325
2,rbf,0.0013724128016502
3,rbf,0.00355798231165465
4,rbf,0.00214843027375154
5,rbf,0.00319566073423931
6,rbf,0.00367698900410338
7,rbf,0.00578853431771452
8,rbf,0.0022205210483793
9,rbf,0.00254535523583321
10,rbf,0.00230555125348326
11,rbf,0.00182775858316943
12,rbf,0.0015937371579746
13,rbf,0.00156592209031808
14,rbf,0.00168601852113781
15,rbf,0.00147607647279946
16,rbf,0.00334450060936071
17,rbf,0.00234631262978635
18,rbf,0.00443843201832806
19,rbf,0.00210045263665966
20,rbf,0.00361116706531257
21,rbf,0.00127927507087787
22,rbf,0.00157302111987358
23,rbf,0.00139663981419623
24,rbf,0.000761426622136394
25,rbf,0.00124809564306572
26,rbf,0.000730008740127023
27,rbf,0.00257864805427804
28,rbf,0.00196975175506333
29,rbf,0.00457421479127171
30,rbf,0.00234153169600744
