Model,Segment,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,Time_sec
rbf,1,0.00479613457864325,0.00127594164412825,0.00409093217769125,0.0425929958123548,0.0425933532573877,0.998351367068423,0.1561702
rbf_arima,1,0.00479613457864325,0.00127594164412825,0.00409093217769125,0.0425929958123548,0.0425933532573877,0.998351367068423,0.0017
arima,1,0.0563707321148504,0.0149966110074588,0.050389098381622,0.526762738930235,0.525022995866039,0.772255131913393,0.2556076
rbf,2,0.0013724128016502,0.000365110406692459,0.00107651386043409,0.0117091153059367,0.0117086045744763,0.999858707241194,0.0012105
rbf_arima,2,0.0013724128016502,0.000365110406692459,0.00107651386043409,0.0117091153059367,0.0117086045744763,0.999858707241194,0.0589442
arima,2,0.0493554425627066,0.0131302955531226,0.0448079799752428,0.488076567723692,0.48953489553237,0.817265526957992,0.2600907
rbf,3,0.00355798231165465,0.000946549294243547,0.00316313970224833,0.0358243076032612,0.0358262778839096,0.999002554671816,0.0012049
rbf_arima,3,0.00355798231165465,0.000946549294243547,0.00316313970224833,0.0358243076032612,0.0358262778839096,0.999002554671816,0.0641025
arima,3,0.0497947214322564,0.0132471592886691,0.0428161605418833,0.487922845682468,0.486307345593724,0.804634377530819,0.2914607
rbf,4,0.00214843027375154,0.000571558535490657,0.0018851559398214,0.0222534752154839,0.0222521470178757,0.999628096167438,0.0011678
rbf_arima,4,0.00214843027375154,0.000571558535490657,0.0018851559398214,0.0222534752154839,0.0222521470178757,0.999628096167438,0.0557657
arima,4,0.037326043111237,0.00993004930016497,0.0326902867755053,0.389674211969106,0.390673235716955,0.887743361379863,0.2616222
rbf,5,0.00319566073423931,0.00085015892370452,0.00270993538969323,0.0335799768218013,0.03357869567695,0.998392482533733,0.0012258
rbf_arima,5,0.00319566073423931,0.00085015892370452,0.00270993538969323,0.0335799768218013,0.03357869567695,0.998392482533733,0.0573012
arima,5,0.0423387923318635,0.0112636181100665,0.0339516240561763,0.421005021620516,0.421026669478824,0.717829700134359,0.2617884
rbf,6,0.00367698900410338,0.000978209288836162,0.00301587363569287,0.0363219835226147,0.0363264331241984,0.998425750809937,0.0012081
rbf_arima,6,0.00367698900410338,0.000978209288836162,0.00301587363569287,0.0363219835226147,0.0363264331241984,0.998425750809937,0.0582147
arima,6,0.121122674771263,0.0322229208239971,0.0623640752439604,0.751742008769321,0.741212927415761,-0.708203950806216,0.2741647
rbf,7,0.00578853431771452,0.00153995511871703,0.00438768532291688,0.0541865141122106,0.0541848616032568,0.995727162063009,0.0011516
rbf_arima,7,0.00578853431771452,0.00153995511871703,0.00438768532291688,0.0541865141122106,0.0541848616032568,0.995727162063009,0.0615453
arima,7,0.313312488856804,0.0833522174164993,0.215936294491564,2.63587554658471,2.71077867800458,-11.5179902567135,0.2896766
rbf,8,0.0022205210483793,0.000590737234502694,0.00180505269755476,0.0210650973684121,0.0210671895898797,0.999815913374918,0.0011696
