Segment,Model,RMSE
1,rbf,0.000734393531730433
2,rbf,0.000535083953233615
3,rbf,0.000642718108875266
4,rbf,0.00232634018408003
5,rbf,0.0020941402659593
6,rbf,0.00157261338550267
7,rbf,0.000748055806898639
8,rbf,0.00150433987526357
9,rbf,0.00129709861212675
10,rbf,0.000765420869490884
11,rbf,0.000697255297744686
12,rbf,0.000621974347830965
13,rbf,0.00123694127227253
14,rbf,0.00143521979276543
15,rbf,0.00149934474913899
16,rbf,0.000479575852333417
17,rbf,0.00264305391148504
18,rbf,0.000734415123420967
19,rbf,0.000712079875278171
20,rbf,0.00062563778581817
21,rbf,0.000874578800243908
22,rbf,0.000828100223932977
23,rbf,0.000263312056171812
24,rbf,0.00112747367144435
25,rbf,0.000547616096449563
26,rbf,0.000491102818534515
27,rbf,0.000919517387191291
28,rbf,0.00102314780956908
29,rbf,0.000930971678688451
30,rbf,0.000945146116591322
