Model,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,DM_pvalue,Time_sec
rbf,0.00102855564200223,0.000314004043329825,0.000850114638949854,0.00691097898331395,0.00691098302907406,0.999558848307447,1,0.00692229333333333
rbf_arima,0.00102855564200223,0.000314004043329825,0.000850114638949854,0.00691097898331395,0.00691098302907406,0.999558848307447,NaN,0.0709614533333333
arima,0.0670840279101814,0.0204798409988229,0.0528138044293062,0.43533668784864,0.436495328215979,-2.71915843667454,0.00386218778343572,0.24641134
