x_raw,speed
-495.01,16.55
-461.37,16.14
-394.09,15.33
-352.52,14.83
-468.35,16.23
-446.94,15.98
-423.50,15.70
-402.09,15.44
-378.69,15.16
-339.15,14.68
-356.95,14.90
-298.48,14.20
-335.01,14.64
-359.29,14.94
-330.34,14.60
-313.73,14.40
-346.87,14.80
-299.17,14.23
-276.66,13.95
-261.84,13.78
-246.18,13.59
-223.88,13.33
-246.16,13.60
-269.15,13.88
-294.16,14.18
-320.50,14.50
-338.39,14.71
-359.52,14.97
-344.73,14.81
-320.74,14.54
-330.96,14.66
-344.82,14.83
-372.41,15.17
-396.86,15.46
-411.49,15.64
-402.42,15.54
-389.07,15.38
-352.51,14.95
-315.11,14.50
-268.16,13.95
-310.81,14.47
-346.33,14.90
-339.67,14.83
-319.35,14.58
-388.30,15.42
-420.18,15.81
-431.24,15.94
-416.79,15.78
-393.48,15.50
-377.68,15.31
-337.81,14.84
-365.40,15.17
-392.45,15.50
-345.80,14.94
-437.96,16.05
-419.93,15.84
-384.98,15.42
-359.24,15.11
-331.59,14.78
-297.23,14.38
-326.92,14.74
-348.83,15.01
-328.82,14.77
-284.27,14.25
-246.02,13.80
-281.39,14.24
-301.77,14.49
-255.74,13.94
-240.40,13.76
-264.25,14.06
-244.66,13.83
-214.87,13.48
-185.26,13.13
-208.56,13.42
-227.79,13.66
-257.78,14.03
-278.93,14.29
-292.05,14.46
-279.18,14.31
-241.73,13.87
-210.47,13.50
-229.69,13.73
-264.50,14.15
-282.78,14.38
-256.60,14.07
-271.54,14.25
-215.88,13.58
-175.47,13.10
-150.35,12.80
-102.53,12.23
-63.14,11.75
-37.36,11.45
-71.17,11.87
-49.87,11.62
-27.21,11.35
-81.25,12.01
-120.67,12.49
-85.98,12.08
-105.71,12.33
-136.10,12.70
-172.08,13.13
-205.76,13.54
-199.10,13.47
-227.51,13.82
-259.01,14.20
-288.31,14.56
-277.21,14.44
-301.01,14.73
-325.59,15.02
-351.61,15.34
-376.84,15.64
-401.48,15.94
-407.12,16.02
-431.41,16.30
-391.37,15.83
-367.43,15.54
-341.60,15.24
-300.73,14.75
-333.46,15.15
-364.45,15.53
-350.07,15.37
-369.43,15.61
-394.45,15.91
-360.96,15.51
-338.29,15.24
-312.78,14.94
-294.68,14.72
-277.06,14.51
-257.86,14.29
-297.10,14.77
-271.16,14.46
-254.32,14.27
-235.94,14.05
-270.46,14.47
-248.33,14.22
-260.53,14.37
-300.92,14.86
-271.58,14.51
-244.07,14.19
-213.49,13.82
-191.00,13.56
-223.60,13.96
-241.79,14.18
-230.79,14.05
-209.18,13.79
-190.02,13.57
-217.17,13.90
-239.70,14.17
-267.11,14.51
-286.80,14.74
-301.76,14.94
-326.69,15.23
-285.33,14.74
-253.79,14.37
-286.56,14.77
-274.16,14.63
-251.56,14.36
-223.35,14.02
-195.62,13.70
-223.71,14.05
-205.74,13.84
-183.67,13.57
-157.79,13.27
-129.95,12.94
-104.84,12.64
-129.70,12.95
-157.87,13.29
-188.38,13.66
-216.66,14.01
-239.45,14.28
-267.29,14.62
-292.90,14.94
-312.92,15.18
-283.05,14.83
-252.48,14.46
-228.71,14.18
-193.58,13.76
-222.39,14.12
-239.36,14.32
-207.26,13.93
-259.64,14.57
-278.57,14.80
-295.51,15.00
-308.49,15.16
-312.36,15.22
-327.69,15.41
-305.27,15.15
-287.30,14.94
-310.44,15.22
-346.06,15.65
-368.44,15.93
-345.94,15.66
-318.63,15.34
-290.48,15.00
-254.72,14.58
-283.25,14.94
-264.64,14.74
-249.72,14.55
-300.47,15.17
-334.99,15.59
-365.28,15.96
-343.07,15.70
-320.24,15.43
-287.48,15.04
-306.97,15.29
-331.22,15.58
-322.41,15.49
-346.69,15.79
-372.96,16.12
-401.80,16.47
-428.74,16.80
-454.34,17.11
-484.78,17.48
-464.05,17.24
-437.60,16.92
-414.30,16.65
-387.48,16.33
-373.11,16.17
-356.68,15.96
-404.32,16.54
-434.55,16.91
-465.62,17.29
-486.86,17.56
-469.31,17.35
-453.96,17.17
-428.50,16.87
-410.78,16.66
-425.78,16.85
-400.13,16.55
-381.44,16.33
-346.31,15.91
-321.91,15.62
-285.02,15.18
-302.03,15.39
-325.63,15.67
-343.87,15.90
-367.31,16.18
-387.72,16.43
-424.06,16.87
-441.16,17.08
-426.25,16.90
-404.51,16.65
-374.74,16.29
-351.72,16.02
