x_raw,speed
-22.539629893763184,8.527503163983807
-23.065662908762746,8.571287155789344
-24.401350281162244,8.671493221104663
-25.616896416528967,8.76232107118377
-26.757281843658035,8.84984600203756
-27.752723104262415,8.928099033339787
-29.052671927133794,9.025766696440051
-30.2332744926372,9.114921923243397
-31.45655608231945,9.208076735427987
-32.591068066902594,9.295852255407496
-33.17047621787056,9.344016589287248
-32.95975814935341,9.334640361101371
-32.98557468157385,9.34248965149565
-33.43916655555374,9.381491475492341
-33.97831349788552,9.426723806209512
-34.6030155085692,9.478186643647167
-35.4541868178314,9.546141998874333
-36.38084789328646,9.619594860031336
-36.94012543993633,9.666293192329798
-37.94315941506693,9.744493889481506
-39.05816987671692,9.83084922042914
-39.14622312403016,9.843366533629627
-37.783678642756726,9.748888125137833
-36.38205766518057,9.650071686127792
-35.195916648729536,9.565620979724525
-33.946786842324855,9.477065505690874
-32.94678939464849,9.407497107157548
-32.544830585109466,9.384193863949417
-31.470342642824797,9.311642682078256
-30.10267097543955,9.216345135740774
-28.86568267019696,9.12982808097412
-27.466837254995013,9.03067111515529
-26.145589719923684,8.937436505552443
-24.938919680944096,8.852274619114999
-23.66028273152733,8.761871777024444
-22.320750704048336,8.667034280150487
-21.031041922256613,8.575825137190222
-19.73026130808995,8.48380969336025
-18.457160274860655,8.393810001704548
-17.17852332544389,8.303407159613993
-15.89988637602712,8.213004317523438
-14.637857175172776,8.123810926737448
-13.475903262619909,8.04187532316421
-12.07448400970641,7.9439629272238745
-11.541061304720287,7.9110406677165805
-11.184396354896975,7.891035928066353
-11.40648627921881,7.913178733878208
-12.489049314477604,7.99744242450077
-13.735902061339367,8.093127778581096
-14.922797168937734,8.18417541850571
-16.022709677349155,8.269431248267377
-16.607150479396644,8.31796208254245
-16.79904449724134,8.337905885982373
-16.81479572730273,8.345022175586006
-16.234010855919266,8.308424682495982
-15.565657855752093,8.265450082527344
-16.73278701884616,8.355329604948434
-17.920385522388685,8.445614485638083
-19.238224227506045,8.545926702196224
-19.97353433827776,8.604901865541535
-19.908763151066786,8.60615414882001
-19.441379877493958,8.578086400472689
-19.2910536219311,8.573108177030681
-19.769808751308602,8.613942503003983
-19.815755887847132,8.623257794979553
-18.917691131587,8.563283218909648
-17.747882419761105,8.48243370831323
-16.50758625251089,8.395908326859455
-15.23408895177672,8.307507744626077
-14.098930411325725,8.230266927709868
-14.00396331763762,8.229320208616409
-13.88886561963141,8.22690748794166
-14.23173916986179,8.257846303241255
-14.780951414352629,8.303811634749072
-14.721212878221166,8.305430418422869
-14.726898806123515,8.31181370723586
-14.863433662093456,8.327726006327234
-14.088683643382566,8.276460438831279
-12.827722843935277,8.188701493374813
-11.531412701769213,8.096227773357274
-10.13542734094679,7.996977614176783
-8.845133029558319,7.905183174500856
-7.630451881095894,7.819709210768961
-6.214375166332388,7.721468007060976
-4.900127371440412,7.630099789682139
-3.939798344172111,7.565319520108668
-3.7542435310525804,7.5577757938994035
-3.377447976911178,7.536305052667886
-2.7288892644755407,7.4950432900889545
-1.848828602381829,7.436922509325188
-1.3764126777294905,7.408488260582543
-1.6790250193237028,7.436495072719559
-2.4396086091544973,7.49785342083092
-3.667055270643637,7.592939519780258
-4.800986564717604,7.678502128035479
-6.008774432927353,7.768629322087746
-7.2165623011371025,7.858756516140011
-8.464243069650827,7.951849186566999
-9.804336968965096,8.052093864440701
-11.20508345428636,8.15681583281983
-12.278030147177937,8.239836562128456
-12.942993366497788,8.294231402728691
-13.940692247575342,8.37246289916061
-15.289807529643262,8.474278679048192
-16.8093735296733,8.588551090675997
-17.54211059004534,8.647610200765136
-18.17687790288805,8.699806038993437
-17.7447231868719,8.674303793413372
-16.95525024420961,8.622780019765411
-16.578454690068213,8.601309278533893
-15.693194428373602,8.542538511526857
-13.974315265003959,8.4217807315307
-12.670424500122067,8.330980706464395
-11.86917563784246,8.278436560390517
-12.724710191069441,8.34616701095742
-13.916203776056449,8.437820860689197
-15.062513724989202,8.52672688965251
-15.945985943824311,8.596886546052506
-17.40304731081669,8.706128943554546
-18.929150359806272,8.81943728761096
-20.44724229931301,8.93243355437292
-21.724521884664583,9.027892777218701
-22.884535860775685,9.116440155862094
-23.98302487092503,9.199210664017286
-25.330936585057273,9.300221999879918
-26.679950535804153,9.401039537006067
-27.989289345188,9.499044490241689
-29.40735976403301,9.605225395134246
-30.714663468252752,9.702945108520696
-31.903140688650424,9.791726309019376
-33.265031989114675,9.893755701535682
-34.65625353705627,9.998129347350343
-35.88595440684145,10.090636181368984
-37.112082416966,10.184028430298495
-37.51534778015066,10.21936525034196
-38.42691090236714,10.291718610312996
-39.308278118106486,10.361872967912095
-39.07239679419173,10.350664237749607
-38.6781321338993,10.327993671368485
-40.02332589384275,10.429485667347972
-41.36309987570057,10.53016200124283
-42.72555224148549,10.632169217296127
-43.912034816867966,10.720880527592247
-45.21317473328719,10.819027015234212
-46.381741796689695,10.909011252053965
-46.46291749078489,10.920892046796792
-45.8495873359059,10.882195786985118
-44.93429811625554,10.821509503454095
-43.8931926196171,10.75166071004001
-42.80165038852198,10.677596229883264
-41.406890161776445,10.580364733362591
-40.008282380339416,10.4819033928638
-38.815704974154386,10.397360803781103
-37.55921168948752,10.308570563429967
-36.297182488633176,10.219377172643977
-34.99640187446651,10.127361728814002
-33.70669309267479,10.036152585853738
-32.423611441319046,9.94515473257921
-31.16099671086795,9.855376045077557
-29.852929506163917,9.76234759807995
-28.664884039913346,9.679784116038292
-27.42805542456078,9.594379506671222
-26.06413900435124,9.497766228119929
-24.629236625886094,9.39652608709082
-23.32828019153748,9.307211118262044
-22.794976447454275,9.27190079222306
