Model,Segment,RMSE,nRMSE,MAE,MAPE,sMAPE_pct,R2,Time_sec
rbf,1,0.365563380863168,0.0281608858629398,0.297213570534959,1.5422298601984,1.52421057887149,0.090302519378335,1.9493835
rbf_arima,1,0.365563380863168,0.0281608858629398,0.297213570534959,1.5422298601984,1.52421057887149,0.090302519378335,0.0027868
arima,1,0.542331251846929,0.0417780589705269,0.413627805896306,2.15190820098369,2.11239693683452,-1.0021696985404,0.3650967
rbf,2,0.423322996347182,0.0326103521505422,0.331610301353209,1.96792573998664,2.00102730876683,0.688224005955895,0.0012315
rbf_arima,2,0.423322996347182,0.0326103521505422,0.331610301353209,1.96792573998664,2.00102730876683,0.688224005955895,0.0909649
arima,2,0.247775309073799,0.0190871749298479,0.195138167628605,1.15768666987408,1.14672444679041,0.893189240621085,0.3199479
rbf,3,0.04813832585806,0.00370829785226558,0.0416378539346865,0.27928599492821,0.279095532416536,0.993179083116761,0.0011788
rbf_arima,3,0.04813832585806,0.00370829785226558,0.0416378539346865,0.27928599492821,0.279095532416536,0.993179083116761,0.0627813
arima,3,0.165077850890533,0.0127166416571898,0.113130008118066,0.782558079704109,0.789263985987658,0.91978817361674,0.4132445
rbf,4,0.139591724968851,0.010753338107818,0.10197392635446,0.717143818648662,0.721905356814327,-0.0787007390502017,0.0010825
rbf_arima,4,0.139591724968851,0.010753338107818,0.10197392635446,0.717143818648662,0.721905356814327,-0.0787007390502017,0.0569745
arima,4,0.630304137091764,0.048554980593704,0.477100221742247,3.35917964730509,3.46024723356704,-20.9928718537742,0.3237351
rbf,5,0.0407767671853389,0.00314120600333274,0.0406409201085005,0.264457942289047,0.264810211104692,0.994947240096429,0.0010596
rbf_arima,5,0.0407767671853389,0.00314120600333274,0.0406409201085005,0.264457942289047,0.264810211104692,0.994947240096429,0.061711
arima,5,0.361111506834119,0.0278179392688028,0.278880777721807,1.76156121969523,1.78743851293139,0.603734983005849,0.3200183
rbf,6,0.0706591839657089,0.00544317434128227,0.0576568078480081,0.322473415950464,0.323242716264025,0.985224475121529,0.0010877
rbf_arima,6,0.0706591839657089,0.00544317434128227,0.0576568078480081,0.322473415950464,0.323242716264025,0.985224475121529,0.0621007
arima,6,0.0547290609468879,0.00421600991617941,0.0328386144214428,0.181162989813405,0.180714725415668,0.991135756543722,0.5158281
rbf,7,0.0718086225165534,0.00553172043077396,0.0591738871105573,0.313193080047248,0.312473757449027,0.780947460609065,0.0010568
rbf_arima,7,0.0718086225165534,0.00553172043077396,0.0591738871105573,0.313193080047248,0.312473757449027,0.780947460609065,0.0648439
arima,7,0.38033766771262,0.0292990113630688,0.279708523005765,1.47951748743456,1.45960967365969,-5.14516825558707,0.3695576
rbf,8,0.0667481384265321,0.00514189004203584,0.0461953965036552,0.257709720577783,0.258409578011306,0.968882193942871,0.0010677
rbf_arima,8,0.0667481384265321,0.00514189004203584,0.0461953965036552,0.257709720577783,0.258409578011306,0.968882193942871,0.0698176
arima,8,0.295967854848857,0.0227996495705283,0.228345646060078,1.26961987115709,1.25606534249452,0.388185531221241,0.5614966
rbf,9,0.134523895918355,0.01036294190586,0.126039784746841,0.764758123879939,0.768166762208311,0.929733104510059,0.0014185
rbf_arima,9,0.134523895918355,0.01036294190586,0.126039784746841,0.764758123879939,0.768166762208311,0.929733104510059,0.0656828
arima,9,0.0775631836517454,0.00597501849563158,0.0638029501704092,0.390810584281043,0.38966835541923,0.976640521281239,0.3305842
rbf,10,0.0481612861311042,0.00371006657873663,0.0295734345337675,0.197171124502873,0.196654844043179,0.968044660453645,0.0013522
rbf_arima,10,0.0481612861311042,0.00371006657873663,0.0295734345337675,0.197171124502873,0.196654844043179,0.968044660453645,0.0647595
arima,10,0.231219233263173,0.0178117907265933,0.166902612235538,1.11011201796064,1.12217394906347,0.263461932832117,0.4437461
rbf,11,0.186477106127133,0.0143651163562882,0.161852234364926,1.03133105951,1.02450653740713,0.826685308042407,0.0011133
rbf_arima,11,0.186477106127133,0.0143651163562882,0.161852234364926,1.03133105951,1.02450653740713,0.826685308042407,0.069191
arima,11,0.763254253251442,0.0587966876208054,0.58062930683325,3.66917016195072,3.78743679520746,-1.90350650913881,0.3637098
rbf,12,0.278673572014918,0.0214673981731974,0.241574374739529,1.31500626749097,1.3039736906,0.901075643329756,0.0011114
rbf_arima,12,0.278673572014918,0.0214673981731974,0.241574374739529,1.31500626749097,1.3039736906,0.901075643329756,0.0647374
